geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:1904030	negative regulation of cyclin-dependent protein kinase activity	http://amigo.geneontology.org/amigo/term/GO:1904030	29	4	0.10092403696147846	39.63376932223543	2.9389998812412443e-6	2.0144927446855745e-4	324;1027;1029;4221	APC;CDKN1B;CDKN2A;MEN1
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	http://amigo.geneontology.org/amigo/term/GO:1902895	29	4	0.10092403696147846	39.63376932223543	2.9389998812412443e-6	2.0144927446855745e-4	657;6597;7157;7490	BMPR1A;SMARCA4;TP53;WT1
GO:0001654	eye development	http://amigo.geneontology.org/amigo/term/GO:0001654	349	9	1.2145685827433097	7.410038533741726	3.011804040387034e-6	2.0421974493204986e-4	1019;1027;4149;4763;4771;5156;5979;6597;7490	CDK4;CDKN1B;MAX;NF1;NF2;RET;SMARCA4;WT1;PDGFRA
GO:0150063	visual system development	http://amigo.geneontology.org/amigo/term/GO:0150063	350	9	1.218048721948878	7.388866995073891	3.083039566309509e-6	2.0682603728880598e-4	1019;1027;4149;4763;4771;5156;5979;6597;7490	CDK4;CDKN1B;MAX;NF1;NF2;RET;SMARCA4;WT1;PDGFRA
GO:0048880	sensory system development	http://amigo.geneontology.org/amigo/term/GO:0048880	355	9	1.235449417976719	7.284798445847499	3.4614220092432646e-6	2.2976554937145292e-4	1019;1027;4149;4763;4771;5156;5979;6597;7490	CDK4;CDKN1B;MAX;NF1;NF2;RET;SMARCA4;WT1;PDGFRA
GO:1903046	meiotic cell cycle process	http://amigo.geneontology.org/amigo/term/GO:1903046	186	7	0.6473058922356895	10.814052651093807	3.5818710091284345e-6	2.3442627963321077e-4	472;675;2956;4292;5889;5892;83990	ATM;BRCA2;BRIP1;MLH1;MSH6;RAD51C;RAD51D
GO:0048285	organelle fission	http://amigo.geneontology.org/amigo/term/GO:0048285	459	10	1.5973838953558142	6.2602358951243335	3.6344244820352145e-6	2.3442627963321077e-4	324;472;675;1027;4292;5889;5892;5925;11200;83990	APC;ATM;BRCA2;BRIP1;CDKN1B;MLH1;RAD51C;RAD51D;RB1;CHEK2
GO:0007548	sex differentiation	http://amigo.geneontology.org/amigo/term/GO:0007548	266	8	0.9257170286811472	8.64194970184081	3.643161339050849e-6	2.3442627963321077e-4	657;675;3815;4089;4436;5156;7490;83990	BMPR1A;BRCA2;BRIP1;KIT;MSH2;SMAD4;WT1;PDGFRA
GO:1901653	cellular response to peptide	http://amigo.geneontology.org/amigo/term/GO:1901653	358	9	1.2458898355934238	7.223752648815257	3.707125267093936e-6	2.3613264580095311e-4	324;1019;4149;4221;5728;7157;7248;7249;83990	APC;BRIP1;CDK4;MAX;MEN1;PTEN;TP53;TSC1;TSC2
GO:1900180	regulation of protein localization to nucleus	http://amigo.geneontology.org/amigo/term/GO:1900180	121	6	0.42109684387375496	14.248503847249928	3.844794297158671e-6	2.4041002025504464e-4	999;4763;4771;6794;51684;201163	CDH1;FLCN;NF1;NF2;STK11;SUFU
GO:0006260	DNA replication	http://amigo.geneontology.org/amigo/term/GO:0006260	268	8	0.9326773070922837	8.577457539886773	3.85052522133833e-6	2.4041002025504464e-4	472;672;675;2956;5424;5426;11200;83990	ATM;BRCA1;BRCA2;BRIP1;MSH6;POLD1;POLE;CHEK2
GO:0007498	mesoderm development	http://amigo.geneontology.org/amigo/term/GO:0007498	124	6	0.4315372614904596	13.903781979977753	4.431449581510094e-6	2.739678535392417e-4	657;2131;2132;4089;4771;79728	BMPR1A;EXT1;EXT2;NF2;PALB2;SMAD4
GO:0016049	cell growth	http://amigo.geneontology.org/amigo/term/GO:0016049	473	10	1.6461058442337693	6.074943500765474	4.742675481450576e-6	2.903622484080323e-4	1027;1029;4089;5925;6597;6794;7157;7490;8314;201163	BAP1;CDKN1B;CDKN2A;FLCN;RB1;SMAD4;SMARCA4;STK11;TP53;WT1
GO:0035270	endocrine system development	http://amigo.geneontology.org/amigo/term/GO:0035270	128	6	0.4454578183127325	13.469288793103448	5.324956073637921e-6	3.1926847167346693e-4	657;999;4221;4763;5156;7490	BMPR1A;CDH1;MEN1;NF1;WT1;PDGFRA
GO:0072401	signal transduction involved in DNA integrity checkpoint	http://amigo.geneontology.org/amigo/term/GO:0072401	73	5	0.2540501620064803	19.681152574397732	5.366707579668173e-6	3.1926847167346693e-4	472;672;1027;7157;11200	ATM;BRCA1;CDKN1B;TP53;CHEK2
GO:0072422	signal transduction involved in DNA damage checkpoint	http://amigo.geneontology.org/amigo/term/GO:0072422	73	5	0.2540501620064803	19.681152574397732	5.366707579668173e-6	3.1926847167346693e-4	472;672;1027;7157;11200	ATM;BRCA1;CDKN1B;TP53;CHEK2
GO:0072395	signal transduction involved in cell cycle checkpoint	http://amigo.geneontology.org/amigo/term/GO:0072395	74	5	0.2575303012120485	19.415191053122086	5.740369307227766e-6	3.383062509474607e-4	472;672;1027;7157;11200	ATM;BRCA1;CDKN1B;TP53;CHEK2
GO:0042770	signal transduction in response to DNA damage	http://amigo.geneontology.org/amigo/term/GO:0042770	131	6	0.4558982359294372	13.160831797841537	6.086893607482047e-6	3.5485592669389236e-4	472;672;675;1027;7157;11200	ATM;BRCA1;BRCA2;CDKN1B;TP53;CHEK2
GO:1901652	response to peptide	http://amigo.geneontology.org/amigo/term/GO:1901652	487	10	1.6948277931117244	5.900304467889259	6.133729148372069e-6	3.5485592669389236e-4	324;1019;1027;4149;4221;5728;7157;7248;7249;83990	APC;BRIP1;CDK4;CDKN1B;MAX;MEN1;PTEN;TP53;TSC1;TSC2
GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	http://amigo.geneontology.org/amigo/term/GO:0072332	76	5	0.26449057962318495	18.90426497277677	6.548727872646154e-6	3.754207087718786e-4	675;4436;6794;7157;11200	BRCA2;MSH2;STK11;TP53;CHEK2
GO:0008584	male gonad development	http://amigo.geneontology.org/amigo/term/GO:0008584	135	6	0.46981879275171007	12.770881226053639	7.2382828467665306e-6	4.112127174027905e-4	3815;4089;4436;5156;7490;83990	BRIP1;KIT;MSH2;SMAD4;WT1;PDGFRA
GO:0046546	development of primary male sexual characteristics	http://amigo.geneontology.org/amigo/term/GO:0046546	136	6	0.4732989319572783	12.676977687626774	7.552114085207506e-6	4.252109948332012e-4	3815;4089;4436;5156;7490;83990	BRIP1;KIT;MSH2;SMAD4;WT1;PDGFRA
GO:0001953	negative regulation of cell-matrix adhesion	http://amigo.geneontology.org/amigo/term/GO:0001953	37	4	0.12876515060602425	31.064305684995336	8.004849542331272e-6	4.467131080879734e-4	1029;4763;4771;5728	CDKN2A;NF1;NF2;PTEN
GO:0071158	positive regulation of cell cycle arrest	http://amigo.geneontology.org/amigo/term/GO:0071158	80	5	0.27841113644545784	17.95905172413793	8.431574713974044e-6	4.6639921180982737e-4	472;672;1027;7157;11200	ATM;BRCA1;CDKN1B;TP53;CHEK2
GO:0044839	cell cycle G2/M phase transition	http://amigo.geneontology.org/amigo/term/GO:0044839	213	7	0.7412696507860315	9.443257244617127	8.730306332749294e-6	4.787244498636265e-4	472;672;1019;2956;5889;7157;11200	ATM;BRCA1;CDK4;MSH6;RAD51C;TP53;CHEK2
GO:0008406	gonad development	http://amigo.geneontology.org/amigo/term/GO:0008406	214	7	0.7447497899915997	9.399129874315179	9.001317932133546e-6	4.893302662071908e-4	675;3815;4089;4436;5156;7490;83990	BRCA2;BRIP1;KIT;MSH2;SMAD4;WT1;PDGFRA
GO:0001666	response to hypoxia	http://amigo.geneontology.org/amigo/term/GO:0001666	302	8	1.0510020400816034	7.611783512217401	9.24811420066618e-6	4.98449642302572e-4	472;1027;4089;4763;5728;7157;7428;83990	ATM;BRIP1;CDKN1B;NF1;PTEN;SMAD4;TP53;VHL
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	9	1.405976239049562	6.401246159098668	9.842697631379238e-6	5.260004344362498e-4	1029;3815;4221;5727;5728;5925;6597;6598;51684	CDKN2A;KIT;MEN1;PTCH1;PTEN;RB1;SMARCA4;SMARCB1;SUFU
GO:0048145	regulation of fibroblast proliferation	http://amigo.geneontology.org/amigo/term/GO:0048145	83	5	0.2888515540621625	17.309929372663063	1.0102650898513588e-5	5.353556013951822e-4	1019;4763;5156;7157;79577	CDC73;CDK4;NF1;TP53;PDGFRA
GO:0071375	cellular response to peptide hormone stimulus	http://amigo.geneontology.org/amigo/term/GO:0071375	307	8	1.0684027361094444	7.487813096708974	1.0421727941190007e-5	5.476618033095348e-4	324;1019;4149;4221;5728;7248;7249;83990	APC;BRIP1;CDK4;MAX;MEN1;PTEN;TSC1;TSC2
GO:0060249	anatomical structure homeostasis	http://amigo.geneontology.org/amigo/term/GO:0060249	408	9	1.419896795871835	6.338488843813387	1.0650186398342143e-5	5.481328246273328e-4	472;675;2271;4763;5424;5889;5892;5925;6794	ATM;BRCA2;FH;NF1;POLD1;RAD51C;RAD51D;RB1;STK11
GO:0097306	cellular response to alcohol	http://amigo.geneontology.org/amigo/term/GO:0097306	84	5	0.29233169326773073	17.103858784893266	1.0713642341952934e-5	5.481328246273328e-4	672;999;1019;5727;5728	BRCA1;CDH1;CDK4;PTCH1;PTEN
GO:0048144	fibroblast proliferation	http://amigo.geneontology.org/amigo/term/GO:0048144	84	5	0.29233169326773073	17.103858784893266	1.0713642341952934e-5	5.481328246273328e-4	1019;4763;5156;7157;79577	CDC73;CDK4;NF1;TP53;PDGFRA
GO:0045137	development of primary sexual characteristics	http://amigo.geneontology.org/amigo/term/GO:0045137	220	7	0.765630625225009	9.142789968652037	1.0778380947318311e-5	5.481328246273328e-4	675;3815;4089;4436;5156;7490;83990	BRCA2;BRIP1;KIT;MSH2;SMAD4;WT1;PDGFRA
GO:0016999	antibiotic metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016999	145	6	0.5046201848073923	11.890130796670629	1.0905199149258138e-5	5.500723261313885e-4	2271;6389;6390;6391;6392;54949	FH;SDHA;SDHAF2;SDHB;SDHC;SDHD
GO:1902893	regulation of pri-miRNA transcription by RNA polymerase II	http://amigo.geneontology.org/amigo/term/GO:1902893	40	4	0.13920556822272892	28.734482758620686	1.0990978923652861e-5	5.500723261313885e-4	657;6597;7157;7490	BMPR1A;SMARCA4;TP53;WT1
GO:2000615	regulation of histone H3-K9 acetylation	http://amigo.geneontology.org/amigo/term/GO:2000615	13	3	0.0452418096723869	66.3103448275862	1.116046237092938e-5	5.541565016620526e-4	672;4089;6598	BRCA1;SMAD4;SMARCB1
GO:0060562	epithelial tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0060562	312	8	1.0858034321372856	7.3678160919540225	1.1718785496106499e-5	5.773332917066217e-4	4089;4233;5727;5979;7248;7249;7490;51684	MET;PTCH1;RET;SMAD4;SUFU;TSC1;TSC2;WT1
GO:0043434	response to peptide hormone	http://amigo.geneontology.org/amigo/term/GO:0043434	418	9	1.4546981879275172	6.186850354726943	1.2921198474624696e-5	6.316362603177002e-4	324;1019;1027;4149;4221;5728;7248;7249;83990	APC;BRIP1;CDK4;CDKN1B;MAX;MEN1;PTEN;TSC1;TSC2
GO:0045005	DNA-dependent DNA replication maintenance of fidelity	http://amigo.geneontology.org/amigo/term/GO:0045005	42	4	0.14616584663386537	27.366174055829227	1.3391653170824469e-5	6.495981915016854e-4	675;2956;5424;5426	BRCA2;MSH6;POLD1;POLE
GO:0051095	regulation of helicase activity	http://amigo.geneontology.org/amigo/term/GO:0051095	14	3	0.04872194887795512	61.573891625615765	1.4169103150107887e-5	6.82063850874659e-4	2956;4436;7157	MSH2;MSH6;TP53
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	http://amigo.geneontology.org/amigo/term/GO:0042771	44	4	0.1531261250450018	26.122257053291534	1.6157754147316794e-5	7.718999822195433e-4	675;4436;7157;11200	BRCA2;MSH2;TP53;CHEK2
GO:0043970	histone H3-K9 acetylation	http://amigo.geneontology.org/amigo/term/GO:0043970	15	3	0.05220208808352334	57.46896551724138	1.7667590589742765e-5	8.376829042023901e-4	672;4089;6598	BRCA1;SMAD4;SMARCB1
GO:0043409	negative regulation of MAPK cascade	http://amigo.geneontology.org/amigo/term/GO:0043409	161	6	0.5603024120964839	10.708502891411436	1.97859896431396e-5	9.311227663405846e-4	4089;4221;4763;4771;5728;201163	FLCN;MEN1;NF1;NF2;PTEN;SMAD4
GO:0001657	ureteric bud development	http://amigo.geneontology.org/amigo/term/GO:0001657	96	5	0.3340933637345494	14.965876436781608	2.054860020117566e-5	9.598479471749163e-4	4072;4089;5727;5979;7490	EPCAM;PTCH1;RET;SMAD4;WT1
GO:0030850	prostate gland development	http://amigo.geneontology.org/amigo/term/GO:0030850	47	4	0.16356654266170648	24.45487894350697	2.106558488079724e-5	9.767616048404954e-4	1027;5727;5728;6794	CDKN1B;PTCH1;PTEN;STK11
GO:0072163	mesonephric epithelium development	http://amigo.geneontology.org/amigo/term/GO:0072163	97	5	0.3375735029401176	14.811589050835407	2.16080806809682e-5	9.840523511037223e-4	4072;4089;5727;5979;7490	EPCAM;PTCH1;RET;SMAD4;WT1
GO:0072164	mesonephric tubule development	http://amigo.geneontology.org/amigo/term/GO:0072164	97	5	0.3375735029401176	14.811589050835407	2.16080806809682e-5	9.840523511037223e-4	4072;4089;5727;5979;7490	EPCAM;PTCH1;RET;SMAD4;WT1
GO:0072224	metanephric glomerulus development	http://amigo.geneontology.org/amigo/term/GO:0072224	16	3	0.055682227289091564	53.877155172413794	2.1690973168952965e-5	9.840523511037223e-4	5156;5979;7490	RET;WT1;PDGFRA
GO:0008585	female gonad development	http://amigo.geneontology.org/amigo/term/GO:0008585	98	5	0.34105364214568584	14.660450387051371	2.270959544237172e-5	0.0010229050632828292	675;3815;4089;5156;7490	BRCA2;KIT;SMAD4;WT1;PDGFRA
GO:0051321	meiotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0051321	248	7	0.8630745229809192	8.110539488320356	2.338041250560252e-5	0.0010456516401441808	472;675;2956;4292;5889;5892;83990	ATM;BRCA2;BRIP1;MLH1;MSH6;RAD51C;RAD51D
GO:0045165	cell fate commitment	http://amigo.geneontology.org/amigo/term/GO:0045165	249	7	0.8665546621864875	8.077967040576098	2.3992149904561444e-5	0.001065454206325102	324;657;4089;5727;7490;51684;79577	APC;BMPR1A;CDC73;PTCH1;SMAD4;SUFU;WT1
GO:0001701	in utero embryonic development	http://amigo.geneontology.org/amigo/term/GO:0001701	345	8	1.2006480259210368	6.663068465767116	2.4181459445493658e-5	0.0010656297400832523	657;675;4089;4436;5156;5727;79728;201163	BMPR1A;BRCA2;FLCN;MSH2;PALB2;PTCH1;SMAD4;PDGFRA
GO:1902749	regulation of cell cycle G2/M phase transition	http://amigo.geneontology.org/amigo/term/GO:1902749	167	6	0.5811832473298932	10.323766260582284	2.4334075891530027e-5	0.0010656297400832523	472;672;1019;2956;5889;7157	ATM;BRCA1;CDK4;MSH6;RAD51C;TP53
GO:0016570	histone modification	http://amigo.geneontology.org/amigo/term/GO:0016570	455	9	1.5834633385335413	5.683743842364533	2.528435420301456e-5	0.0010996078455462745	472;672;675;4089;4221;6598;8314;79577;201163	ATM;BAP1;BRCA1;BRCA2;CDC73;FLCN;MEN1;SMAD4;SMARCB1
GO:0140013	meiotic nuclear division	http://amigo.geneontology.org/amigo/term/GO:0140013	169	6	0.5881435257410297	10.20159151193634	2.602458386147255e-5	0.0011121449951975	472;675;4292;5889;5892;83990	ATM;BRCA2;BRIP1;MLH1;RAD51C;RAD51D
GO:0008340	determination of adult lifespan	http://amigo.geneontology.org/amigo/term/GO:0008340	17	3	0.059162366494659786	50.7079107505071	2.6273935598952747e-5	0.0011121449951975	2956;4436;7157	MSH2;MSH6;TP53
GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0090100	101	5	0.3514940597623905	14.224991464663708	2.6278085043518473e-5	0.0011121449951975	657;4089;4221;6794;201163	BMPR1A;FLCN;MEN1;SMAD4;STK11
GO:0001823	mesonephros development	http://amigo.geneontology.org/amigo/term/GO:0001823	101	5	0.3514940597623905	14.224991464663708	2.6278085043518473e-5	0.0011121449951975	4072;4089;5727;5979;7490	EPCAM;PTCH1;RET;SMAD4;WT1
GO:0022904	respiratory electron transport chain	http://amigo.geneontology.org/amigo/term/GO:0022904	102	5	0.35497419896795873	14.08553076402975	2.7559565546786402e-5	0.0011586041355869004	6389;6390;6391;6392;54949	SDHA;SDHAF2;SDHB;SDHC;SDHD
GO:0046545	development of primary female sexual characteristics	http://amigo.geneontology.org/amigo/term/GO:0046545	103	5	0.35845433817352695	13.948778038165383	2.8889083648842018e-5	0.0012064540495999852	675;3815;4089;5156;7490	BRCA2;KIT;SMAD4;WT1;PDGFRA
GO:0007162	negative regulation of cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007162	257	7	0.8943957758310332	7.826512813632094	2.9378501294696768e-5	0.001218821244502354	999;1029;4072;4221;4763;4771;5728	CDH1;CDKN2A;EPCAM;MEN1;NF1;NF2;PTEN
GO:0014706	striated muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0014706	357	8	1.2424096963878555	6.439099777842172	3.08654343741388e-5	0.0012721400598909758	657;4089;4763;5156;5728;5925;7248;7490	BMPR1A;NF1;PTEN;RB1;SMAD4;TSC1;WT1;PDGFRA
GO:0016569	covalent chromatin modification	http://amigo.geneontology.org/amigo/term/GO:0016569	468	9	1.6287051482059283	5.525862068965517	3.153517768006431e-5	0.001288521254747638	472;672;675;4089;4221;6598;8314;79577;201163	ATM;BAP1;BRCA1;BRCA2;CDC73;FLCN;MEN1;SMAD4;SMARCB1
GO:0007369	gastrulation	http://amigo.geneontology.org/amigo/term/GO:0007369	175	6	0.609024360974439	9.851822660098522	3.16715500294773e-5	0.001288521254747638	657;2131;2132;4089;4771;79577	BMPR1A;CDC73;EXT1;EXT2;NF2;SMAD4
GO:0045333	cellular respiration	http://amigo.geneontology.org/amigo/term/GO:0045333	176	6	0.6125045001800072	9.795846394984325	3.270174569347528e-5	0.0013219051816862506	2271;6389;6390;6391;6392;54949	FH;SDHA;SDHAF2;SDHB;SDHC;SDHD
GO:0034504	protein localization to nucleus	http://amigo.geneontology.org/amigo/term/GO:0034504	267	7	0.9291971678867155	7.53338499289681	3.747638748863302e-5	0.0015052617802759226	999;4763;4771;6794;7249;51684;201163	CDH1;FLCN;NF1;NF2;STK11;SUFU;TSC2
GO:0002009	morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:0002009	480	9	1.670466818672747	5.3877155172413795	3.8426116972578583e-05	0.0015336398330954464	4089;4233;5727;5728;5979;7248;7249;7490;51684	MET;PTCH1;PTEN;RET;SMAD4;SUFU;TSC1;TSC2;WT1
GO:0016445	somatic diversification of immunoglobulins	http://amigo.geneontology.org/amigo/term/GO:0016445	55	4	0.19140765630625226	20.897805642633227	3.945425540619052e-5	0.0015647706578077825	2956;4292;4436;5395	MLH1;MSH2;MSH6;PMS2
GO:0060537	muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0060537	371	8	1.2911316452658106	6.1961148805651085	4.055825728466189e-5	0.0015885737294228442	657;4089;4763;5156;5728;5925;7248;7490	BMPR1A;NF1;PTEN;RB1;SMAD4;TSC1;WT1;PDGFRA
GO:0010639	negative regulation of organelle organization	http://amigo.geneontology.org/amigo/term/GO:0010639	371	8	1.2911316452658106	6.1961148805651085	4.055825728466189e-5	0.0015885737294228442	324;472;672;4089;4233;6598;7249;201163	APC;ATM;BRCA1;FLCN;MET;SMAD4;SMARCB1;TSC2
GO:0035065	regulation of histone acetylation	http://amigo.geneontology.org/amigo/term/GO:0035065	56	4	0.19488779551182048	20.52463054187192	4.2379374764034417e-05	0.0016395358114233193	672;4089;6598;201163	BRCA1;FLCN;SMAD4;SMARCB1
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	http://amigo.geneontology.org/amigo/term/GO:0006977	56	4	0.19488779551182048	20.52463054187192	4.2379374764034417e-05	0.0016395358114233193	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:0001952	regulation of cell-matrix adhesion	http://amigo.geneontology.org/amigo/term/GO:0001952	112	5	0.38977559102364095	12.82789408866995	4.322923665078804e-5	0.0016622168678040816	1029;4763;4771;5728;7248	CDKN2A;NF1;NF2;PTEN;TSC1
GO:0072111	cell proliferation involved in kidney development	http://amigo.geneontology.org/amigo/term/GO:0072111	20	3	0.06960278411136446	43.10172413793103	4.372174280597996e-5	0.001670965515966725	5727;7490;201163	FLCN;PTCH1;WT1
GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	http://amigo.geneontology.org/amigo/term/GO:0072431	57	4	0.1983679347173887	20.16454930429522	4.546001890992635e-5	0.0017165920912933866	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:1902400	intracellular signal transduction involved in G1 DNA damage checkpoint	http://amigo.geneontology.org/amigo/term/GO:1902400	57	4	0.1983679347173887	20.16454930429522	4.546001890992635e-5	0.0017165920912933866	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:0072413	signal transduction involved in mitotic cell cycle checkpoint	http://amigo.geneontology.org/amigo/term/GO:0072413	58	4	0.20184807392295692	19.816884661117715	4.870123756939293e-5	0.0018065294359564225	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:1902402	signal transduction involved in mitotic DNA damage checkpoint	http://amigo.geneontology.org/amigo/term/GO:1902402	58	4	0.20184807392295692	19.816884661117715	4.870123756939293e-5	0.0018065294359564225	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:1902403	signal transduction involved in mitotic DNA integrity checkpoint	http://amigo.geneontology.org/amigo/term/GO:1902403	58	4	0.20184807392295692	19.816884661117715	4.870123756939293e-5	0.0018065294359564225	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:0071900	regulation of protein serine/threonine kinase activity	http://amigo.geneontology.org/amigo/term/GO:0071900	497	9	1.7296291851674066	5.2034274613196425	5.0348889070961356e-5	0.0018567256987221186	324;1019;1027;1029;3815;4221;4763;5728;5979	APC;CDK4;CDKN1B;CDKN2A;KIT;MEN1;NF1;PTEN;RET
GO:0046660	female sex differentiation	http://amigo.geneontology.org/amigo/term/GO:0046660	118	5	0.4106564262570503	12.17562828755114	5.5491480915770275e-5	0.0020344725503188797	675;3815;4089;5156;7490	BRCA2;KIT;SMAD4;WT1;PDGFRA
GO:0000086	G2/M transition of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0000086	194	6	0.6751470058802352	8.886953430501244	5.6349897755270106e-5	0.002054002631472447	472;672;1019;2956;5889;11200	ATM;BRCA1;CDK4;MSH6;RAD51C;CHEK2
GO:0000724	double-strand break repair via homologous recombination	http://amigo.geneontology.org/amigo/term/GO:0000724	119	5	0.4141365654626185	12.073312083454072	5.777224438663353e-5	0.0020937458224259253	672;675;5889;5892;79728	BRCA1;BRCA2;PALB2;RAD51C;RAD51D
GO:0043966	histone H3 acetylation	http://amigo.geneontology.org/amigo/term/GO:0043966	61	4	0.2122884915396616	18.842283776144715	5.9439671821315265e-5	0.002141866117172652	672;675;4089;6598	BRCA1;BRCA2;SMAD4;SMARCB1
GO:0000725	recombinational repair	http://amigo.geneontology.org/amigo/term/GO:0000725	120	5	0.41761670466818673	11.972701149425287	6.012477938455163e-5	0.0021542435159033102	672;675;5889;5892;79728	BRCA1;BRCA2;PALB2;RAD51C;RAD51D
GO:2000756	regulation of peptidyl-lysine acetylation	http://amigo.geneontology.org/amigo/term/GO:2000756	62	4	0.2157686307452298	18.53837597330367	6.337479020535053e-5	0.002257861169688929	672;4089;6598;201163	BRCA1;FLCN;SMAD4;SMARCB1
GO:0048738	cardiac muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0048738	200	6	0.6960278411136446	8.620344827586207	6.67295351699515e-5	0.002351564910376632	657;4089;5156;5728;7248;7490	BMPR1A;PTEN;SMAD4;TSC1;WT1;PDGFRA
GO:0031571	mitotic G1 DNA damage checkpoint	http://amigo.geneontology.org/amigo/term/GO:0031571	63	4	0.21924876995079803	18.244116037219484	6.749655071014438e-5	0.002351564910376632	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:0044819	mitotic G1/S transition checkpoint	http://amigo.geneontology.org/amigo/term/GO:0044819	63	4	0.21924876995079803	18.244116037219484	6.749655071014438e-5	0.002351564910376632	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:0044786	cell cycle DNA replication	http://amigo.geneontology.org/amigo/term/GO:0044786	63	4	0.21924876995079803	18.244116037219484	6.749655071014438e-5	0.002351564910376632	675;2956;5424;11200	BRCA2;MSH6;POLD1;CHEK2
GO:0001838	embryonic epithelial tube formation	http://amigo.geneontology.org/amigo/term/GO:0001838	124	5	0.4315372614904596	11.586484983314794	7.028399437425392e-5	0.0024165031767850237	5727;5979;7248;7249;51684	PTCH1;RET;SUFU;TSC1;TSC2
GO:0006119	oxidative phosphorylation	http://amigo.geneontology.org/amigo/term/GO:0006119	124	5	0.4315372614904596	11.586484983314794	7.028399437425392e-5	0.0024165031767850237	4436;6389;6391;6392;54949	MSH2;SDHA;SDHAF2;SDHC;SDHD
GO:0048863	stem cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0048863	202	6	0.702988119524781	8.534994878798225	7.051008317926488e-5	0.0024165031767850237	657;3815;4072;4089;5156;5979	BMPR1A;EPCAM;KIT;RET;SMAD4;PDGFRA
GO:0044783	G1 DNA damage checkpoint	http://amigo.geneontology.org/amigo/term/GO:0044783	64	4	0.22272890915636626	17.959051724137932	7.181032324066194e-5	0.0024477616127330497	472;1027;7157;11200	ATM;CDKN1B;TP53;CHEK2
GO:0010810	regulation of cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0010810	203	6	0.7064682587303492	8.49295056905045	7.24634905738819e-5	0.0024567460836499963	1029;4221;4763;4771;5728;7248	CDKN2A;MEN1;NF1;NF2;PTEN;TSC1
GO:0030325	adrenal gland development	http://amigo.geneontology.org/amigo/term/GO:0030325	24	3	0.08352334093363735	35.91810344827586	7.68611337569336e-5	0.0025919053982418356	4763;5156;7490	NF1;WT1;PDGFRA
GO:0051271	negative regulation of cellular component movement	http://amigo.geneontology.org/amigo/term/GO:0051271	301	7	1.047521900876035	6.682437850842021	7.98695079013978e-5	0.0026790272171607152	657;999;1027;4763;4771;5728;201163	BMPR1A;CDH1;CDKN1B;FLCN;NF1;NF2;PTEN
GO:0009896	positive regulation of catabolic process	http://amigo.geneontology.org/amigo/term/GO:0009896	409	8	1.423376935077403	5.62043672540258	8.046151992546768e-5	0.002684604998148144	324;472;1027;5728;6794;7248;7249;201163	APC;ATM;CDKN1B;FLCN;PTEN;STK11;TSC1;TSC2
GO:0002200	somatic diversification of immune receptors	http://amigo.geneontology.org/amigo/term/GO:0002200	66	4	0.2296891875675027	17.41483803552769	8.103563148165183e-5	0.0026895299585436654	2956;4292;4436;5395	MLH1;MSH2;MSH6;PMS2
GO:0071901	negative regulation of protein serine/threonine kinase activity	http://amigo.geneontology.org/amigo/term/GO:0071901	129	5	0.44893795751830073	11.137396418070034	8.478961585312028e-5	0.002799389097223961	324;1027;1029;4221;4763	APC;CDKN1B;CDKN2A;MEN1;NF1
GO:0000729	DNA double-strand break processing	http://amigo.geneontology.org/amigo/term/GO:0000729	25	3	0.08700348013920557	34.48137931034483	8.712651707809549e-5	0.002846734801525752	472;672;83990	ATM;BRCA1;BRIP1
